,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Doesnot20028796,"Everyone has right to tell their thoughts. Whatever they think, if they say in front of all then society should have to do something to overcome this issue.",,26,49,8002,337,"Justice is truth in action,,, raise your voice louder for him  
#6MonthsOfFarmersProtest 

  #Black_Day_Of_Farmers https://t.co/IYUZiCh8zc","['6MonthsOfFarmersProtest', 'Black_Day_Of_Farmers']"
1,eXwyDWZgvxr3kdT,students,"Barh, India",24,1,451,401,"Good morning 🌄 it's today's tagline...

#6MonthsOfFarmersProtest
#Black_Day_Of_Farmers https://t.co/FVjyMW9s1A","['6MonthsOfFarmersProtest', 'Black_Day_Of_Farmers']"
2,KARAN_SAHU_,"🇮🇳  Message me who needs follow back🇮🇳 
🌾SON  OF  FARMER🌾🇮🇳",DEOGAON   INDIA,7359,8474,54647,1,"Justice is truth in action,,, raise your voice louder for him  
#6MonthsOfFarmersProtest 

  #Black_Day_Of_Farmers https://t.co/BhpX23CN6S","['6MonthsOfFarmersProtest', 'Black_Day_Of_Farmers']"
3,Randhawa_JotS,,,209,98,5846,16,"ਜਿੱਤਾਂਗੇ ਜ਼ਰੂਰ 

Keep tweeting 
Keep fighting 

#FreeJaggiNow 
#6MonthsOfFarmersProtest 
#Black_Day_Of_Farmers","['FreeJaggiNow', '6MonthsOfFarmersProtest', 'Black_Day_Of_Farmers']"
4,JaipalNain87,Jaipal Nain,Dhamtansahib,515,474,33036,304,"I request to all
Please support farmers 🌾🇮🇳
#Black_Day_Of_Farmers 
#NationalBlackDay https://t.co/sGjddGSHJ5","['Black_Day_Of_Farmers', 'NationalBlackDay']"
5,sumitnirwal10,,,4,0,41,5,"Farmers Protest is not only protest against three black farm laws.

It’s fight against Oppression, Fascism and Capitalism.

Support our Farmers in this fight.

#6MonthsOfFarmersProtest 
#Black_Day_Of_Farmers https://t.co/jCDcxg3KQB",[]
6,SuchaSi54064381,,,30,7,484,309,"It's been #6MonthsofFarmersProtest but this couldn't lower their confidence,enthusiasm and spirit.

#Black_Day_Of_Farmers https://t.co/OcDfYWnrAm","['6MonthsofFarmersProtest', 'Black_Day_Of_Farmers']"
7,berozgarvinod,,,19,11,1515,309,"It's been #6MonthsofFarmersProtest but this couldn't lower their confidence,enthusiasm and spirit.

#Black_Day_Of_Farmers https://t.co/OcDfYWnrAm","['6MonthsofFarmersProtest', 'Black_Day_Of_Farmers']"
8,Manjot75230866,be real,,65,322,47503,112,"Today is also happens to mark seven years since PM Modi formed the government. BLACK DAY for Indian Democracy!!

#6MonthsOfFarmersProtest 

  #Black_Day_Of_Farmers https://t.co/Xz4vpfQFoF",[]
9,FaisalDurrani77,,Nirmal,104,4,184,356,"""We are still alive and the Farmer protest  will continue like this"".
#6MonthsOfFarmersProtest
#Black_Day_Of_Farmers https://t.co/2atnSJZ9eY","['6MonthsOfFarmersProtest', 'Black_Day_Of_Farmers']"
10,JasmeenKaurChe1,,,105,69,158,2,"Modi g...Repeal Black Laws. Save farmers, Save India ,save unity if india. It's still a Request. It's still a peaceful protest.  #Black_Day_Of_Farmers #काला_दिवस https://t.co/j9k9hHHf9A",[]
11,dada_nitish,ज़िला संगठन सचिव HHP,"Indore, India",155,32,346,440,"#Black_Day_Of_Farmers
26 may is #काला_दिन https://t.co/ZBQ6h3ofsD","['Black_Day_Of_Farmers', 'काला_दिन']"
12,Manjot75230866,be real,,65,322,47503,170,"We willn't return without winning
#6MonthsOfFarmersProtest #Black_Day_Of_Farmers https://t.co/WVl9te5MWf","['6MonthsOfFarmersProtest', 'Black_Day_Of_Farmers']"
13,MrHites66128923,"Memer, video creator and social media lover 🤘🤘👍
Proud🇮🇳🇮🇳 to be an Indian 🇮🇳🇮🇳
Jai🇮🇳🇮🇳 hind 🇮🇳

Follow my Instagram account👇👉hkmemesworld👈","Orissa, India",195,166,1417,0,"Today the farmer movement has been 6 months, more than 400 have died, but the government is still sleeping, when will the farmers be heard
#6MonthsOfFarmersProtest
#Black_Day_Of_Farmers https://t.co/Yq55RqtQVp","['6MonthsOfFarmersProtest', 'Black_Day_Of_Farmers']"
14,luck_gil,"Only One Life to Live for Others, so make it count.",Still Searching,90,84,6000,337,"This photo makes me smile :)

More power to you Bibi ji.

#6MonthsOfFarmersProtest
#Black_Day_Of_Farmers https://t.co/jEcsWxmGmX","['6MonthsOfFarmersProtest', 'Black_Day_Of_Farmers']"
15,OWAISIBROTHERS4,,,36,27,182,1,"PLEASE SUPPORT THIS HASHTAG
RT KAREN 🙏
#Black_Day_Of_Farmers
 #Black_Day_Of_Farmers
#Black_Day_Of_Farmers 
#Black_Day_Of_Farmers 
@shivamyadavjii  @ARajesh_SP 
@Nargis_Ansari74 @Sakina_Qureshi_ https://t.co/UKT01c9pH4 https://t.co/nFmhd4atfd","['Black_Day_Of_Farmers', 'Black_Day_Of_Farmers', 'Black_Day_Of_Farmers']"
16,KhattraSher,"👏🏻🙏ੴਸਤਿਨਾਮ ਸ੍ੀ ਵਾਹਿਗੂਰੁ ਜੀ ੴ👏🏻🙏
#ਕਿਸਾਨ_ਮਜ਼ਦੂਰ_ਏਕਤਾ_ਜਿੰਦਾਬਾਦ।🌾🚜
#WorldSupportsIndianFarmers 🙋‍♂✊ 
#FARMERS_PROTEST🙋‍♂✊
#kisanektazindabad👍
#followback","Nabha, India",617,390,10715,309,"It's been #6MonthsofFarmersProtest but this couldn't lower their confidence,enthusiasm and spirit.

#Black_Day_Of_Farmers https://t.co/OcDfYWnrAm","['6MonthsofFarmersProtest', 'Black_Day_Of_Farmers']"
17,AbdussalamDBG1,"محنت اتنی خاموشی سے کرو کہ کامیابی شور مچا دے ۔
मेहनत इतनी खामोशी से करो के कामयाबी शोर मचा दे ।
 Do the hard work so silent to give success noise.",Lucknow ,45,288,20162,39,"6 months of farmers protest. Farmer’s still fighting for our rights 

#6MonthsOfFarmersProtest 

  #Black_Day_Of_Farmers https://t.co/kvp3Wyw0jA",['6MonthsOfFarmersProtest']
18,Randhawa_JotS,,,209,98,5846,4,"#This movement is started by the farmers of Punjab for every single farmer and labourer in the 'world' and we need to stand behind them..!!

Be the voice of Indian Farmers..!!

#6MonthsOfFarmersProtest
#Black_Day_Of_Farmers https://t.co/u3kvb9ZY5z",['This']
19,manojshah_uikey,"Voice of MadhyaPradesh, youth, Dalit, Tribal and farmers/ Social Worker / Atheist
(जयस संभाग सचिव उज्जैन, देवास म.प्र.।)","Bagli, India",954,2135,2576,0,"I support with RT
#मध्यप्रदेश_मे_आदिवासी_सुरक्षित_नहीं
#Black_Day_Of_Farmers","['मध्यप्रदेश_मे_आदिवासी_सुरक्षित_नहीं', 'Black_Day_Of_Farmers']"
20,niteshbeniwal15,"जय वीर तेजाजी 
         🐂जय गौ माता की🐂.","Hanumangarh, rajasthan India",126,154,1677,386,"Govt's 'No' won't convince us to go home !

We are still fighting for something that's rightfully ours !

#Black_Day_Of_Farmers 
#6MonthsOfFarmersProtest https://t.co/zrYDNxP8HF",[]
21,FaisalDurrani77,,Nirmal,104,4,184,593,"This is an appeal from @Bkuektaugrahan and SKm to raise black flags at your homes, shops and all industrial units on May 26!!
#6MonthsOfFarmersProtest 

  #Black_Day_Of_Farmers https://t.co/ZRkkW3GZ5B",[]
22,Bhaskar_INC,"A Congressman  ||
Inspired by the ideology of the senior @incindia leader @sachinpilot ji  ||
Followed by National President of @IYC @srinivasiyc ji 🙏🙏","Jaipur , Rajasthan",1888,2001,19215,0,"🌿🌿🌿🌿🌿🌿🌿🌿🌿

I request to all ,
Please support farmers !!

#Black_Day_Of_Farmers 
#NationalBlackDay 
#6MonthsofFarmersProtest 
#FarmersProtests 
#Modi_WorstStorm4Farmers 
#ModiDestroyingFarmers 

🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏 https://t.co/eOp2Sv8SNb","['Black_Day_Of_Farmers', 'NationalBlackDay', '6MonthsofFarmersProtest', 'FarmersProtests', 'Modi_WorstStorm4Farmers', 'ModiDestroyingFarmers']"
